frame id,address,retcode,numDistances,raw_mm,medianEMA_mm,medianEMA_in,p0 str,time now,LED status
878,0x51,0,1,327,341.0,13.426,-20,154634,2
879,0x51,0,1,364,334.0,13.15,-24,154810,2
880,0x51,0,1,331,332.5,13.091,-17,154986,2
881,0x51,0,1,401,348.3,13.711,-20,155162,2
882,0x51,0,2,278,339.6,13.371,-26,155338,2
883,0x51,0,2,299,319.3,12.571,-28,155514,1
884,0x51,0,1,401,309.2,12.172,-19,155690,1
885,0x51,0,1,412,355.1,13.979,-18,155866,2
886,0x51,0,2,288,378.0,14.883,-27,156042,2
887,0x51,0,2,297,337.5,13.288,-22,156218,2
888,0x51,0,2,344,317.3,12.491,-22,156394,1
889,0x51,0,2,296,307.1,12.092,-22,156570,1
890,0x51,0,1,308,307.6,12.109,-20,156746,1
891,0x51,0,1,321,307.8,12.117,-18,156922,1
892,0x51,0,1,315,311.4,12.259,-26,157098,1
893,0x51,0,1,408,316.2,12.449,-21,157274,1
894,0x51,0,2,304,315.6,12.425,-24,157450,1
895,0x51,0,1,361,338.3,13.319,-18,157626,2
896,0x51,0,3,359,348.6,13.726,-22,157802,2
897,0x51,0,2,376,354.8,13.969,-22,157978,2
898,0x51,0,1,414,365.4,14.386,-20,158154,2
899,0x51,0,2,400,382.7,15.067,-18,158330,3
900,0x51,0,1,390,391.4,15.408,-19,158506,3
901,0x51,0,1,431,395.7,15.578,-18,158682,3
902,0x51,0,1,432,413.3,16.273,-22,158858,3
903,0x51,0,1,450,422.7,16.641,-21,159034,3
904,0x51,0,1,296,427.3,16.824,-26,159210,3
905,0x51,0,1,282,361.7,14.239,-22,159386,2
906,0x51,0,0,-1,361.7,14.239,0,159561,2
907,0x51,0,0,-1,361.7,14.239,0,159739,2
908,0x51,0,2,291,326.3,12.848,-29,159918,1
909,0x51,0,1,257,304.2,11.975,-26,160094,1
910,0x51,0,1,279,291.6,11.48,-22,160270,1
911,0x51,0,1,319,285.3,11.232,-19,160446,1
912,0x51,0,1,275,282.1,11.108,-30,160622,1
913,0x51,0,2,313,297.6,11.715,-19,160798,1
914,0x51,0,2,317,305.3,12.019,-21,160974,1
915,0x51,0,2,299,309.1,12.171,-29,161150,1
916,0x51,0,1,365,313.1,12.326,-19,161326,1
917,0x51,0,1,243,306.0,12.049,-29,161502,1
918,0x51,0,1,368,335.5,13.209,-18,161678,2
919,0x51,0,1,380,351.8,13.849,-20,161854,2
920,0x51,0,2,350,359.9,14.168,-24,162030,2
921,0x51,0,1,373,366.4,14.427,-20,162206,2
922,0x51,0,1,322,358.2,14.103,-19,162382,2
923,0x51,0,1,358,358.1,14.099,-20,162558,2
924,0x51,0,2,378,358.1,14.097,-23,162734,2
925,0x51,0,2,398,368.0,14.489,-26,162910,2
926,0x51,0,1,359,373.0,14.686,-20,163086,2
927,0x51,0,2,337,366.0,14.41,-29,163262,2
928,0x51,0,1,363,362.5,14.272,-20,163438,2
929,0x51,0,1,277,349.8,13.77,-25,163614,2
930,0x51,0,2,285,317.4,12.495,-22,163790,1
931,0x51,0,2,440,301.2,11.858,-21,163966,1
932,0x51,0,2,369,335.1,13.193,-24,164142,2
933,0x51,0,1,359,352.0,13.86,-24,164318,2
934,0x51,0,2,337,355.5,13.997,-18,164494,2
935,0x51,0,2,320,346.3,13.632,-23,164670,2
936,0x51,0,2,369,341.6,13.45,-15,164846,2
937,0x51,0,1,389,355.3,13.989,-24,165022,2
938,0x51,0,1,354,362.2,14.258,-23,165198,2
939,0x51,0,1,318,358.1,14.098,-24,165374,2
940,0x51,0,1,471,356.0,14.017,-20,165550,2
941,0x51,0,1,317,337.0,13.268,-28,165726,2
