environment,bed,height,point,file,samples,valid_samples,invalid_samples,invalid_pct,raw_mean,raw_median,raw_std,raw_bias,raw_mae,raw_rmse,filtered_mean,filtered_median,filtered_std,filtered_bias,filtered_mae,filtered_rmse
ground_mobile,,12,,mobile_12_1.txt,198,193,5,2.525,13.124,13.071,0.482,1.124,1.125,1.223,13.078,13.055,0.315,1.078,1.078,1.123
ground_mobile,,16,,mobile_16_1.txt,177,169,8,4.52,16.341,16.26,0.494,0.341,0.422,0.599,16.264,16.276,0.245,0.264,0.31,0.359
ground_mobile,,20,,mobile_20_1.txt,172,148,24,13.953,20.707,20.61,0.622,0.707,0.736,0.94,20.599,20.605,0.3,0.599,0.601,0.67
