sync_time_s,raw_in_run1,filtered_in_run1,raw_in_run2,filtered_in_run2,raw_in_run3,filtered_in_run3
0.0,12.874015748031496,13.426,13.179634325369792,13.346983050847415,14.149069434502834,13.291136363636348
0.2,14.153543307086615,13.141954545454546,12.248987944303604,12.859819209039472,13.13976377952862,12.873625000000107
0.4,13.783106657122406,13.26009090909091,13.862271453356723,12.540073446327646,18.41356478167459,13.858715909091133
0.6000000000000001,13.806370794559768,13.571909090909092,14.071355487343165,13.264819209039603,14.906048675733143,15.216954545454659
0.8,11.395848246241949,12.934636363636363,10.843772369363045,13.349227272727108,11.772995705082057,14.858272727272498
1.0,14.509663564781675,12.298954545454546,12.101294541572415,12.331644067796528,13.835003579098725,13.666181818181702
1.2000000000000002,16.141732283464567,13.650454545454547,13.019039992882167,12.175090395480286,13.235057265568692,13.153136363636312
1.4000000000000001,11.560486757337145,14.841909090909091,12.658926108812645,12.490237288135623,13.275769506084554,13.191806818181835
1.6,11.861130994989264,13.215545454545454,10.778059522220362,12.576677966101697,10.954724409449224,12.990125000000026
1.8,13.113815318539729,12.400318181818182,10.46776991859074,11.675519774011137,13.295454545454511,13.13854545454545
2.0,11.825340014316394,12.098181818181818,9.50020018684138,10.851039548022573,12.83442323946783,13.126
2.2,12.381889763779528,12.113000000000001,11.576805018016772,10.726474576271238,11.944703945904948,13.122111731843574
2.4000000000000004,12.487473156764496,12.207363636363636,11.338582677165356,11.053548022598896,11.148890479599043,12.632613636363512
2.6,15.230851825340014,12.405818181818182,12.350638373593528,11.206429378531086,12.677165354331073,12.029999999999939
2.8000000000000003,12.340730136005718,12.427181818181818,12.677165354330349,11.340067796610194,12.151037938439316,11.964681818181823
3.0,14.209019327129564,13.3375,13.690555629699325,12.229310734463468,13.021653543307286,12.486795454545494
3.2,14.255547602004295,13.770181818181818,13.659193024600514,12.927932203389885,14.303865425912685,12.85977272727285
3.4000000000000004,15.279169649248391,14.101681818181818,13.706793006806414,13.33972881355938,15.603078024338519,13.640454545454611
3.6,16.048675733715104,14.695545454545455,15.542283909426546,13.59663276836172,17.676270579813576,14.502068181818384
3.8000000000000003,15.515390121689334,15.2685,15.319658196134544,14.534261363636434,16.02093772369349,15.60718181818192
4.0,16.52827487473157,15.531636363636363,14.606966502068325,14.944152542372901,16.57301360057286,16.115272727272774
4.2,17.002505368647103,16.178227272727273,13.663419191245262,14.80713559322026,13.591624910521931,15.967136363636317
4.4,17.716535433070867,16.641,13.543974376084217,14.19888700564963,14.876521116678909,15.432363636363556
4.6000000000000005,11.578382247673586,16.47149999999999,11.975399261532715,13.686683615819149,12.406048675733446,14.096772727272601
4.800000000000001,11.134331892723937,14.239,13.320432403577028,13.412542372881326,12.135826771654326,13.293749999999937
5.0,11.267538926055296,14.239,15.341022513031204,13.38,15.720293486041475,13.48938636363656
5.2,11.400745959386656,13.500759776536313,16.688909649004945,13.547779661016962,13.307981388689392,14.607022727272826
5.4,10.574445239799568,12.272613636363634,11.545887272565198,13.443666666666537,10.68897637795262,13.708499999999713
5.6000000000000005,10.80708661417323,11.581249999999999,10.786956715156725,12.652666666666603,10.61292054402295,12.125090909090718
5.800000000000001,12.451682176091628,11.24890909090909,11.722941411984332,12.078271186440576,11.182891911238457,11.314249999999904
6.0,10.928775948460984,11.149386363636363,11.126162195827224,11.560644067796565,11.420007158196409,11.248772727272732
6.2,12.355046528274876,11.77718181818182,11.662218070198964,11.331830508474553,13.01449534717247,11.428659090909209
6.4,12.238725841088046,12.070818181818183,12.701187775257061,11.533169491525467,12.962097958094295,12.034
6.6000000000000005,13.011811023622055,12.244977272727272,13.343565105209391,12.199429378531173,13.5181725165711,12.280452513966562
6.800000000000001,11.422691481746588,12.156022727272726,10.806308109791535,12.472514124293726,11.337240515389473,12.62587500000002
7.0,13.257874015748039,12.919,12.342186040304632,12.097457627118615,11.963582677165824,12.704284090909097
7.2,14.90694345025054,13.77627272727273,13.622492103741113,12.156621468926634,14.616141732283795,12.732500000000002
7.4,13.800107372942023,14.173886363636363,14.38876284532273,12.871389830508596,14.16785969935569,13.458090909090966
7.6000000000000005,14.365604867573367,14.375454545454545,15.100093420525676,13.73484745762724,13.485594130278942,13.805579545454536
7.800000000000001,13.095919828203296,14.101818181818182,13.33155389474592,14.298350282485936,12.769774516822066,13.749045454545449
8.0,14.434502505368648,14.098136363636364,14.799590729125281,14.555751412429407,13.498568360772863,13.507840909090826
8.200000000000001,15.329277022190414,14.319727272727276,14.716668141201408,14.57154999999999,13.970561918396935,13.45134090909098
8.4,14.587508947745164,14.627795454545454,14.43673944166069,14.506244318181812,15.463940586972189,14.116897727272834
8.6,13.405511811023626,14.453909090909091,13.859602295475508,14.464152542372874,12.403364352182672,14.604386363636413
8.8,14.268074445239805,14.275136363636364,12.137550602784644,14.043293785310588,12.340730136005828,13.551204545454363
9.0,10.941302791696492,13.62511363636364,11.69024422794614,13.05659322033885,11.169917680744494,12.56043181818173
9.200000000000001,12.746062992126001,12.335749999999997,12.624449486187299,12.39964406779654,11.887079455977416,11.948170454545405
9.4,16.242841803865424,12.373795454545457,18.36614173228455,12.56093750000006,13.873031496063208,12.031375000000137
9.600000000000001,14.3217609162491,13.541659090909098,17.140748031495622,14.706062500000371,13.960272011452874,12.765238636363707
9.8,13.562992125984247,13.950295454545456,13.890520040927239,15.866016949152444,13.879742304939313,13.371886363636467
10.0,12.735325697924122,13.70665909090909,14.477512344855015,15.162220338982936,15.200429491768277,13.834852272727321
10.200000000000001,14.396027201145328,13.46240909090909,13.690110770052119,14.468661016949106,12.971993557623055,14.044670454545479
10.4,15.22100930565497,14.00734090909091,14.197918056853137,14.203129943502802,13.757158196134514,13.90288636363632
10.600000000000001,13.647100930565488,14.225272727272726,14.448818897637796,14.221615819209067,13.317376521116623,13.626306818181797
10.8,14.573192555476036,14.070386363636363,13.301081008941427,14.346033898305098,14.160254115963314,13.496920454545444
11.0,15.649606299212612,13.65952272727273,16.897326393523585,14.402350282485882,14.970919828202815,13.40913636363635
