run,n_frames,sync_time_start_s,sync_time_end_s,n_dropped_frames,raw_in_mean,raw_in_std,filtered_in_mean,filtered_in_std
1,184,0.0,32.218,5,13.302907667267847,1.7394043619373492,13.284222826086957,1.127902521328062
2,181,-0.3000000000000273,31.52199999999997,3,13.1699548792356,1.853706948868933,13.147276243093923,1.2181565767535918
3,181,-0.3500000000000272,31.337999999999973,4,13.428310867921171,1.9562226336335622,13.34189502762431,1.1745329875825465
